CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	95	54	63.76	149
2	112	65	63.28	177
3	134	69	66.01	203
4	96	65	59.63	161
5	87	59	59.59	146
6	44	41	51.76	85
7	69	34	66.99	103
8	71	41	63.39	112
9	57	39	59.38	96
10	98	37	72.59	135
11	96	43	69.06	139
12	115	47	70.99	162
13	93	33	73.81	126
14	90	55	62.07	145
15	97	31	75.78	128
16	92	47	66.19	139
17	106	50	67.95	156
18	103	52	66.45	155
19	84	40	67.74	124
20	95	46	67.38	141
21	115	39	74.68	154
22	92	37	71.32	129
23	111	47	70.25	158
24	85	53	61.59	138
25	127	44	74.27	171
26	126	45	73.68	171
27	112	37	75.17	149
28	121	35	77.56	156
29	97	50	65.99	147
30	99	33	75.00	132
31	108	47	69.68	155
32	101	48	67.79	149
33	100	41	70.92	141
34	102	45	69.39	147
35	116	39	74.84	155
36	107	39	73.29	146
37	109	40	73.15	149
38	122	49	71.35	171
39	116	38	75.32	154
40	128	34	79.01	162
41	107	36	74.83	143
42	124	43	74.25	167
43	105	35	75.00	140
44	106	40	72.60	146
45	122	41	74.85	163
46	111	48	69.81	159
47	111	49	69.38	160
48	120	39	75.47	159
49	104	41	71.72	145
50	129	39	76.79	168
51	120	45	72.73	165
52	120	37	76.43	157
53	140	52	72.92	192
54	109	38	74.15	147
55	99	33	75.00	132
56	97	40	70.80	137
57	99	41	70.71	140
58	104	47	68.87	151
59	102	38	72.86	140
60	94	45	67.63	139
61	93	28	76.86	121
62	102	52	66.23	154
63	110	40	73.33	150
64	88	34	72.13	122
65	90	43	67.67	133
66	101	33	75.37	134
67	81	39	67.50	120
68	85	38	69.11	123
69	85	36	70.25	121
70	86	40	68.25	126
71	106	31	77.37	137
72	100	38	72.46	138
73	82	40	67.21	122
74	67	33	67.00	100
75	92	38	70.77	130
76	79	47	62.70	126
77	94	30	75.81	124
78	85	46	64.89	131
79	81	45	64.29	126
80	76	37	67.26	113
81	80	30	72.73	110
82	84	42	66.67	126
83	76	24	76.00	100
84	78	37	67.83	115
85	70	32	68.63	102
86	73	34	68.22	107
87	76	35	68.47	111
88	65	44	59.63	109
89	59	42	58.42	101
90	63	41	60.58	104
91	61	27	69.32	88
92	69	31	69.00	100
93	63	27	70.00	90
94	69	22	75.82	91
95	63	46	57.80	109
96	54	28	65.85	82
97	59	34	63.44	93
98	53	38	58.24	91
99	48	27	64.00	75
100	15	19	44.12	34

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	89	457	16.30	546
2	42	153	21.54	195
3	43	224	16.10	267
4	25	239	9.47	264
5	16	285	5.32	301
6	8	346	2.26	354
7	10	232	4.13	242
8	6	216	2.70	222
9	6	212	2.75	218
10	12	204	5.56	216
11	14	285	4.68	299
12	7	222	3.06	229
13	14	225	5.86	239
14	10	225	4.26	235
15	4	234	1.68	238
16	8	229	3.38	237
17	9	251	3.46	260
18	3	237	1.25	240
19	8	258	3.01	266
20	6	270	2.17	276
21	10	266	3.62	276
22	6	252	2.33	258
23	9	252	3.45	261
24	5	247	1.98	252
25	8	230	3.36	238
26	6	268	2.19	274
27	6	231	2.53	237
28	6	255	2.30	261
29	8	276	2.82	284
30	8	248	3.12	256
31	5	259	1.89	264
32	5	243	2.02	248
33	8	249	3.11	257
34	5	257	1.91	262
35	6	254	2.31	260
36	4	241	1.63	245
37	6	249	2.35	255
38	3	278	1.07	281
39	6	256	2.29	262
40	3	252	1.18	255
41	7	241	2.82	248
42	4	248	1.59	252
43	3	249	1.19	252
44	2	239	0.83	241
45	3	272	1.09	275
46	7	253	2.69	260
47	8	211	3.65	219
48	5	269	1.82	274
49	5	280	1.75	285
50	7	207	3.27	214
51	8	274	2.84	282
52	5	251	1.95	256
53	8	265	2.93	273
54	3	239	1.24	242
55	6	261	2.25	267
56	8	274	2.84	282
57	5	240	2.04	245
58	5	238	2.06	243
59	10	249	3.86	259
60	3	232	1.28	235
61	6	239	2.45	245
62	4	237	1.66	241
63	5	232	2.11	237
64	5	223	2.19	228
65	4	232	1.69	236
66	6	219	2.67	225
67	6	266	2.21	272
68	9	256	3.40	265
69	7	212	3.20	219
70	3	230	1.29	233
71	10	222	4.31	232
72	9	237	3.66	246
73	5	215	2.27	220
74	5	198	2.46	203
75	3	240	1.23	243
76	11	221	4.74	232
77	8	229	3.38	237
78	8	201	3.83	209
79	5	181	2.69	186
80	9	188	4.57	197
81	5	185	2.63	190
82	2	193	1.03	195
83	6	192	3.03	198
84	5	189	2.58	194
85	7	178	3.78	185
86	11	184	5.64	195
87	7	176	3.83	183
88	5	187	2.60	192
89	6	169	3.43	175
90	4	151	2.58	155
91	8	162	4.71	170
92	6	185	3.14	191
93	6	159	3.64	165
94	8	169	4.52	177
95	5	186	2.62	191
96	7	160	4.19	167
97	6	150	3.85	156
98	5	143	3.38	148
99	6	142	4.05	148
100	3	119	2.46	122

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	130	296	30.52	426
2	157	438	26.39	595
3	97	400	19.52	497
4	72	475	13.16	547
5	51	607	7.75	658
6	44	703	5.89	747
7	34	808	4.04	842
8	38	759	4.77	797
9	30	744	3.88	774
10	28	736	3.66	764
11	31	718	4.14	749
12	34	739	4.40	773
13	23	736	3.03	759
14	30	788	3.67	818
15	29	678	4.10	707
16	35	728	4.59	763
17	25	715	3.38	740
18	30	733	3.93	763
19	33	779	4.06	812
20	35	685	4.86	720
21	34	723	4.49	757
22	32	722	4.24	754
23	28	721	3.74	749
24	32	713	4.30	745
25	23	738	3.02	761
26	26	780	3.23	806
27	25	781	3.10	806
28	28	749	3.60	777
29	25	784	3.09	809
30	21	769	2.66	790
31	24	752	3.09	776
32	27	764	3.41	791
33	23	786	2.84	809
34	18	778	2.26	796
35	25	705	3.42	730
36	25	780	3.11	805
37	26	707	3.55	733
38	21	710	2.87	731
39	23	720	3.10	743
40	28	729	3.70	757
41	25	780	3.11	805
42	20	779	2.50	799
43	21	762	2.68	783
44	22	778	2.75	800
45	19	753	2.46	772
46	19	762	2.43	781
47	19	773	2.40	792
48	18	760	2.31	778
49	25	770	3.14	795
50	20	757	2.57	777
51	27	783	3.33	810
52	23	741	3.01	764
53	23	785	2.85	808
54	11	735	1.47	746
55	19	758	2.45	777
56	20	775	2.52	795
57	24	757	3.07	781
58	28	735	3.67	763
59	37	704	4.99	741
60	22	727	2.94	749
61	22	739	2.89	761
62	22	736	2.90	758
63	24	705	3.29	729
64	20	688	2.82	708
65	27	699	3.72	726
66	21	710	2.87	731
67	15	711	2.07	726
68	18	687	2.55	705
69	22	662	3.22	684
70	29	677	4.11	706
71	25	668	3.61	693
72	24	604	3.82	628
73	26	655	3.82	681
74	28	650	4.13	678
75	26	617	4.04	643
76	29	593	4.66	622
77	21	625	3.25	646
78	15	640	2.29	655
79	27	620	4.17	647
80	28	622	4.31	650
81	13	567	2.24	580
82	15	623	2.35	638
83	18	549	3.17	567
84	20	591	3.27	611
85	14	520	2.62	534
86	16	518	3.00	534
87	17	535	3.08	552
88	30	528	5.38	558
89	23	537	4.11	560
90	18	528	3.30	546
91	19	554	3.32	573
92	24	507	4.52	531
93	20	503	3.82	523
94	33	476	6.48	509
95	25	462	5.13	487
96	22	512	4.12	534
97	28	488	5.43	516
98	22	515	4.10	537
99	25	485	4.90	510
100	10	406	2.40	416

