CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	138	57	70.77	195
2	168	58	74.34	226
3	152	60	71.70	212
4	107	68	61.14	175
5	128	60	68.09	188
6	78	42	65.00	120
7	80	27	74.77	107
8	91	29	75.83	120
9	108	34	76.06	142
10	108	49	68.79	157
11	125	51	71.02	176
12	114	38	75.00	152
13	134	49	73.22	183
14	129	34	79.14	163
15	118	37	76.13	155
16	110	45	70.97	155
17	132	41	76.30	173
18	121	47	72.02	168
19	131	38	77.51	169
20	113	40	73.86	153
21	140	48	74.47	188
22	133	43	75.57	176
23	141	48	74.60	189
24	121	45	72.89	166
25	143	54	72.59	197
26	119	54	68.79	173
27	115	40	74.19	155
28	112	43	72.26	155
29	152	38	80.00	190
30	122	39	75.78	161
31	157	42	78.89	199
32	147	36	80.33	183
33	147	43	77.37	190
34	131	34	79.39	165
35	133	29	82.10	162
36	137	47	74.46	184
37	133	37	78.24	170
38	157	35	81.77	192
39	133	34	79.64	167
40	150	48	75.76	198
41	165	48	77.46	213
42	133	31	81.10	164
43	154	44	77.78	198
44	131	36	78.44	167
45	156	40	79.59	196
46	144	38	79.12	182
47	130	41	76.02	171
48	145	42	77.54	187
49	153	39	79.69	192
50	161	40	80.10	201
51	151	43	77.84	194
52	149	43	77.60	192
53	141	31	81.98	172
54	142	38	78.89	180
55	126	26	82.89	152
56	142	43	76.76	185
57	146	46	76.04	192
58	134	42	76.14	176
59	159	38	80.71	197
60	130	42	75.58	172
61	118	44	72.84	162
62	117	40	74.52	157
63	126	36	77.78	162
64	127	36	77.91	163
65	119	31	79.33	150
66	127	42	75.15	169
67	125	42	74.85	167
68	117	43	73.12	160
69	118	40	74.68	158
70	109	35	75.69	144
71	108	44	71.05	152
72	95	37	71.97	132
73	94	51	64.83	145
74	93	40	69.92	133
75	101	35	74.26	136
76	117	40	74.52	157
77	96	29	76.80	125
78	100	39	71.94	139
79	102	36	73.91	138
80	102	29	77.86	131
81	100	27	78.74	127
82	107	38	73.79	145
83	89	32	73.55	121
84	87	22	79.82	109
85	94	39	70.68	133
86	71	28	71.72	99
87	77	37	67.54	114
88	69	35	66.35	104
89	90	34	72.58	124
90	80	28	74.07	108
91	74	39	65.49	113
92	71	31	69.61	102
