CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	86	46	65.15	132
2	129	63	67.19	192
3	110	65	62.86	175
4	80	66	54.79	146
5	72	52	58.06	124
6	57	30	65.52	87
7	58	44	56.86	102
8	54	37	59.34	91
9	89	29	75.42	118
10	66	28	70.21	94
11	82	47	63.57	129
12	84	37	69.42	121
13	100	33	75.19	133
14	71	33	68.27	104
15	85	30	73.91	115
16	82	41	66.67	123
17	96	30	76.19	126
18	88	39	69.29	127
19	97	33	74.62	130
20	101	37	73.19	138
21	97	39	71.32	136
22	94	39	70.68	133
23	98	44	69.01	142
24	101	37	73.19	138
25	87	35	71.31	122
26	85	35	70.83	120
27	100	35	74.07	135
28	86	45	65.65	131
29	88	33	72.73	121
30	96	38	71.64	134
31	75	34	68.81	109
32	101	38	72.66	139
33	88	49	64.23	137
34	111	36	75.51	147
35	89	39	69.53	128
36	94	33	74.02	127
37	98	27	78.40	125
38	99	30	76.74	129
39	77	38	66.96	115
40	100	46	68.49	146
41	96	26	78.69	122
42	109	44	71.24	153
43	103	32	76.30	135
44	88	37	70.40	125
45	105	32	76.64	137
46	101	43	70.14	144
47	86	46	65.15	132
48	101	35	74.26	136
49	82	45	64.57	127
50	91	38	70.54	129
51	87	28	75.65	115
52	101	29	77.69	130
53	90	29	75.63	119
54	92	34	73.02	126
55	84	37	69.42	121
56	97	40	70.80	137
57	92	38	70.77	130
58	97	35	73.48	132
59	91	32	73.98	123
60	84	30	73.68	114
61	80	37	68.38	117
62	92	23	80.00	115
63	110	36	75.34	146
64	72	28	72.00	100
65	95	36	72.52	131
66	95	25	79.17	120
67	80	17	82.47	97
68	77	28	73.33	105
69	86	36	70.49	122
70	84	31	73.04	115
71	86	28	75.44	114
72	75	33	69.44	108
73	79	35	69.30	114
74	91	31	74.59	122
75	84	34	71.19	118
76	86	24	78.18	110
77	78	22	78.00	100
78	80	34	70.18	114
79	71	36	66.36	107
80	82	27	75.23	109
81	77	27	74.04	104
82	58	27	68.24	85
83	56	23	70.89	79
84	71	25	73.96	96
85	73	25	74.49	98
86	65	28	69.89	93
87	59	29	67.05	88
88	70	24	74.47	94
89	43	30	58.90	73
90	80	18	81.63	98
91	64	32	66.67	96
92	62	27	69.66	89
93	64	34	65.31	98
94	59	22	72.84	81
95	63	29	68.48	92
96	38	18	67.86	56
97	62	15	80.52	77
98	40	25	61.54	65
99	46	22	67.65	68
100	5	14	26.32	19

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	61	326	15.76	387
2	36	112	24.32	148
3	33	153	17.74	186
4	19	220	7.95	239
5	10	251	3.83	261
6	11	298	3.56	309
7	10	190	5.00	200
8	5	182	2.67	187
9	5	179	2.72	184
10	7	172	3.91	179
11	16	184	8.00	200
12	7	194	3.48	201
13	4	203	1.93	207
14	10	197	4.83	207
15	10	210	4.55	220
16	7	205	3.30	212
17	5	221	2.21	226
18	4	213	1.84	217
19	5	211	2.31	216
20	6	204	2.86	210
21	4	243	1.62	247
22	5	192	2.54	197
23	4	196	2.00	200
24	5	201	2.43	206
25	8	225	3.43	233
26	7	210	3.23	217
27	6	197	2.96	203
28	5	223	2.19	228
29	6	233	2.51	239
30	4	217	1.81	221
31	6	206	2.83	212
32	7	201	3.37	208
33	5	222	2.20	227
34	5	223	2.19	228
35	5	227	2.16	232
36	4	223	1.76	227
37	4	199	1.97	203
38	1	223	0.45	224
39	5	248	1.98	253
40	7	198	3.41	205
41	9	240	3.61	249
42	6	236	2.48	242
43	2	228	0.87	230
44	6	233	2.51	239
45	4	210	1.87	214
46	6	205	2.84	211
47	9	214	4.04	223
48	4	247	1.59	251
49	5	208	2.35	213
50	5	225	2.17	230
51	5	220	2.22	225
52	3	219	1.35	222
53	6	224	2.61	230
54	1	215	0.46	216
55	3	233	1.27	236
56	8	225	3.43	233
57	1	195	0.51	196
58	10	212	4.50	222
59	1	206	0.48	207
60	1	211	0.47	212
61	6	220	2.65	226
62	3	215	1.38	218
63	5	197	2.48	202
64	5	218	2.24	223
65	3	218	1.36	221
66	5	199	2.45	204
67	2	211	0.94	213
68	6	203	2.87	209
69	5	186	2.62	191
70	4	184	2.13	188
71	8	188	4.08	196
72	5	169	2.87	174
73	2	193	1.03	195
74	6	176	3.30	182
75	1	167	0.60	168
76	7	163	4.12	170
77	4	202	1.94	206
78	8	180	4.26	188
79	4	185	2.12	189
80	3	165	1.79	168
81	5	181	2.69	186
82	5	149	3.25	154
83	3	172	1.71	175
84	6	171	3.39	177
85	5	164	2.96	169
86	6	150	3.85	156
87	3	167	1.76	170
88	3	154	1.91	157
89	7	172	3.91	179
90	7	148	4.52	155
91	5	113	4.24	118
92	7	141	4.73	148
93	3	146	2.01	149
94	4	142	2.74	146
95	5	135	3.57	140
96	3	128	2.29	131
97	3	127	2.31	130
98	5	148	3.27	153
99	3	123	2.38	126
100	0	99	0.00	99

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	116	245	32.13	361
2	137	323	29.78	460
3	101	288	25.96	389
4	57	400	12.47	457
5	56	480	10.45	536
6	34	563	5.70	597
7	37	639	5.47	676
8	40	617	6.09	657
9	25	631	3.81	656
10	27	608	4.25	635
11	22	588	3.61	610
12	21	624	3.26	645
13	29	635	4.37	664
14	31	611	4.83	642
15	22	605	3.51	627
16	25	612	3.92	637
17	29	578	4.78	607
18	20	615	3.15	635
19	31	587	5.02	618
20	20	620	3.12	640
21	39	610	6.01	649
22	23	595	3.72	618
23	28	620	4.32	648
24	32	611	4.98	643
25	29	617	4.49	646
26	39	588	6.22	627
27	28	604	4.43	632
28	26	636	3.93	662
29	24	649	3.57	673
30	25	621	3.87	646
31	18	685	2.56	703
32	23	639	3.47	662
33	23	644	3.45	667
34	23	660	3.37	683
35	16	649	2.41	665
36	24	623	3.71	647
37	16	660	2.37	676
38	31	630	4.69	661
39	21	647	3.14	668
40	16	624	2.50	640
41	19	630	2.93	649
42	19	622	2.96	641
43	21	644	3.16	665
44	23	666	3.34	689
45	26	658	3.80	684
46	25	652	3.69	677
47	15	629	2.33	644
48	22	659	3.23	681
49	18	624	2.80	642
50	17	598	2.76	615
51	15	629	2.33	644
52	17	616	2.69	633
53	23	638	3.48	661
54	16	594	2.62	610
55	25	649	3.71	674
56	13	657	1.94	670
57	15	602	2.43	617
58	14	633	2.16	647
59	18	611	2.86	629
60	14	612	2.24	626
61	22	587	3.61	609
62	17	591	2.80	608
63	8	626	1.26	634
64	10	595	1.65	605
65	12	579	2.03	591
66	18	570	3.06	588
67	14	620	2.21	634
68	13	594	2.14	607
69	9	607	1.46	616
70	18	578	3.02	596
71	14	555	2.46	569
72	11	526	2.05	537
73	20	539	3.58	559
74	19	525	3.49	544
75	9	526	1.68	535
76	18	541	3.22	559
77	25	506	4.71	531
78	11	530	2.03	541
79	18	517	3.36	535
80	13	510	2.49	523
81	13	548	2.32	561
82	12	526	2.23	538
83	12	483	2.42	495
84	16	504	3.08	520
85	6	483	1.23	489
