CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	103	53	66.03	156
2	154	67	69.68	221
3	141	84	62.67	225
4	98	72	57.65	170
5	83	63	56.85	146
6	66	38	63.46	104
7	72	52	58.06	124
8	64	40	61.54	104
9	98	38	72.06	136
10	80	35	69.57	115
11	106	52	67.09	158
12	103	44	70.07	147
13	110	42	72.37	152
14	88	40	68.75	128
15	108	35	75.52	143
16	105	43	70.95	148
17	111	30	78.72	141
18	108	55	66.26	163
19	110	43	71.90	153
20	124	41	75.15	165
21	116	48	70.73	164
22	113	40	73.86	153
23	112	43	72.26	155
24	130	43	75.14	173
25	106	42	71.62	148
26	114	29	79.72	143
27	102	47	68.46	149
28	106	61	63.47	167
29	94	38	71.21	132
30	114	49	69.94	163
31	95	34	73.64	129
32	125	49	71.84	174
33	98	55	64.05	153
34	131	43	75.29	174
35	106	53	66.67	159
36	106	48	68.83	154
37	117	38	75.48	155
38	115	32	78.23	147
39	99	46	68.28	145
40	106	47	69.28	153
41	111	32	77.62	143
42	111	55	66.87	166
43	120	43	73.62	163
44	93	46	66.91	139
45	123	36	77.36	159
46	117	51	69.64	168
47	108	49	68.79	157
48	116	43	72.96	159
49	102	49	67.55	151
50	103	46	69.13	149
51	93	37	71.54	130
52	123	38	76.40	161
53	106	43	71.14	149
54	109	37	74.66	146
55	100	41	70.92	141
56	117	46	71.78	163
57	102	50	67.11	152
58	117	45	72.22	162
59	103	40	72.03	143
60	102	36	73.91	138
61	93	44	67.88	137
62	105	32	76.64	137
63	124	40	75.61	164
64	87	30	74.36	117
65	107	40	72.79	147
66	106	33	76.26	139
67	85	22	79.44	107
68	90	36	71.43	126
69	91	41	68.94	132
70	94	38	71.21	132
71	98	37	72.59	135
72	80	33	70.80	113
73	84	47	64.12	131
74	90	42	68.18	132
75	88	38	69.84	126
76	99	36	73.33	135
77	83	32	72.17	115
78	89	40	68.99	129
79	81	43	65.32	124
80	90	39	69.77	129
81	79	31	71.82	110
82	69	37	65.09	106
83	68	31	68.69	99
84	75	34	68.81	109
85	82	44	65.08	126
86	76	30	71.70	106
87	64	35	64.65	99
88	81	35	69.83	116
89	53	38	58.24	91
90	89	31	74.17	120
91	64	42	60.38	106
92	72	38	65.45	110
93	67	41	62.04	108
94	66	33	66.67	99
95	63	37	63.00	100
96	49	28	63.64	77
97	61	25	70.93	86
98	48	31	60.76	79
99	43	28	60.56	71
100	4	26	13.33	30

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	78	416	15.79	494
2	37	128	22.42	165
3	41	196	17.30	237
4	27	261	9.38	288
5	10	318	3.05	328
6	11	371	2.88	382
7	6	237	2.47	243
8	5	220	2.22	225
9	5	224	2.18	229
10	11	209	5.00	220
11	17	222	7.11	239
12	11	230	4.56	241
13	7	234	2.90	241
14	10	231	4.15	241
15	11	245	4.30	256
16	9	248	3.50	257
17	6	246	2.38	252
18	7	250	2.72	257
19	6	259	2.26	265
20	7	245	2.78	252
21	4	292	1.35	296
22	6	249	2.35	255
23	4	240	1.64	244
24	4	249	1.58	253
25	12	273	4.21	285
26	8	253	3.07	261
27	5	243	2.02	248
28	8	259	3.00	267
29	7	260	2.62	267
30	6	243	2.41	249
31	11	263	4.01	274
32	9	228	3.80	237
33	5	268	1.83	273
34	4	268	1.47	272
35	5	267	1.84	272
36	6	252	2.33	258
37	5	257	1.91	262
38	3	270	1.10	273
39	7	288	2.37	295
40	7	237	2.87	244
41	11	289	3.67	300
42	9	272	3.20	281
43	8	258	3.01	266
44	8	271	2.87	279
45	5	257	1.91	262
46	9	249	3.49	258
47	11	250	4.21	261
48	4	281	1.40	285
49	7	241	2.82	248
50	6	267	2.20	273
51	4	259	1.52	263
52	1	261	0.38	262
53	7	265	2.57	272
54	2	253	0.78	255
55	5	274	1.79	279
56	6	253	2.32	259
57	3	223	1.33	226
58	12	246	4.65	258
59	2	229	0.87	231
60	1	239	0.42	240
61	8	249	3.11	257
62	2	262	0.76	264
63	5	233	2.10	238
64	8	258	3.01	266
65	5	243	2.02	248
66	4	244	1.61	248
67	2	258	0.77	260
68	8	235	3.29	243
69	6	226	2.59	232
70	5	213	2.29	218
71	10	233	4.12	243
72	6	193	3.02	199
73	2	228	0.87	230
74	7	201	3.37	208
75	2	200	0.99	202
76	7	186	3.63	193
77	6	226	2.59	232
78	7	200	3.38	207
79	4	210	1.87	214
80	4	194	2.02	198
81	5	219	2.23	224
82	4	163	2.40	167
83	4	198	1.98	202
84	7	200	3.38	207
85	4	184	2.13	188
86	7	165	4.07	172
87	4	186	2.11	190
88	7	175	3.85	182
89	9	200	4.31	209
90	5	185	2.63	190
91	10	148	6.33	158
92	10	173	5.46	183
93	5	172	2.82	177
94	4	171	2.29	175
95	6	154	3.75	160
96	9	166	5.14	175
97	8	147	5.16	155
98	8	173	4.42	181
99	7	164	4.09	171
100	4	126	3.08	130

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	157	292	34.97	449
2	165	402	29.10	567
3	117	355	24.79	472
4	73	469	13.47	542
5	60	576	9.43	636
6	36	679	5.03	715
7	42	771	5.17	813
8	47	738	5.99	785
9	34	765	4.26	799
10	33	713	4.42	746
11	26	696	3.60	722
12	32	748	4.10	780
13	34	767	4.24	801
14	35	727	4.59	762
15	27	733	3.55	760
16	33	718	4.39	751
17	42	701	5.65	743
18	23	729	3.06	752
19	31	692	4.29	723
20	27	727	3.58	754
21	48	729	6.18	777
22	24	726	3.20	750
23	34	721	4.50	755
24	40	729	5.20	769
25	34	728	4.46	762
26	41	711	5.45	752
27	30	692	4.16	722
