CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	64	41	60.95	105
2	95	48	66.43	143
3	83	43	65.87	126
4	53	54	49.53	107
5	46	45	50.55	91
6	42	42	50.00	84
7	43	36	54.43	79
8	50	49	50.51	99
9	49	29	62.82	78
10	66	35	65.35	101
11	57	33	63.33	90
12	75	13	85.23	88
13	78	39	66.67	117
14	69	29	70.41	98
15	67	44	60.36	111
16	59	36	62.11	95
17	71	39	64.55	110
18	78	22	78.00	100
19	73	34	68.22	107
20	73	32	69.52	105
21	70	40	63.64	110
22	80	31	72.07	111
23	79	37	68.10	116
24	66	35	65.35	101
25	70	27	72.16	97
26	80	33	70.80	113
27	76	35	68.47	111
28	78	36	68.42	114
29	80	38	67.80	118
30	88	42	67.69	130
31	70	46	60.34	116
32	54	32	62.79	86
33	70	42	62.50	112
34	82	34	70.69	116
35	66	44	60.00	110
36	80	34	70.18	114
37	68	33	67.33	101
38	64	41	60.95	105
39	74	46	61.67	120
40	68	40	62.96	108
41	67	42	61.47	109
42	75	41	64.66	116
43	84	34	71.19	118
44	81	39	67.50	120
45	83	43	65.87	126
46	75	24	75.76	99
47	75	48	60.98	123
48	86	23	78.90	109
49	67	48	58.26	115
50	72	37	66.06	109
51	80	30	72.73	110
52	73	35	67.59	108
53	79	29	73.15	108
54	75	28	72.82	103
55	70	40	63.64	110
56	75	32	70.09	107
57	60	31	65.93	91
58	73	40	64.60	113
59	79	27	74.53	106
60	73	42	63.48	115
61	77	27	74.04	104
62	64	26	71.11	90
63	65	39	62.50	104
64	83	27	75.45	110
65	72	33	68.57	105
66	77	31	71.30	108
67	61	33	64.89	94
68	58	20	74.36	78
69	74	38	66.07	112
70	68	29	70.10	97
71	67	32	67.68	99
72	75	23	76.53	98
73	53	36	59.55	89
74	74	26	74.00	100
75	63	33	65.62	96
76	51	35	59.30	86
77	57	31	64.77	88
78	61	29	67.78	90
79	61	45	57.55	106
80	66	22	75.00	88
81	45	27	62.50	72
82	50	32	60.98	82
83	56	27	67.47	83
84	53	30	63.86	83
85	52	41	55.91	93
86	51	24	68.00	75
87	58	25	69.88	83
88	53	33	61.63	86
89	47	28	62.67	75
90	54	24	69.23	78
91	58	34	63.04	92
92	61	27	69.32	88
93	47	31	60.26	78
94	48	19	71.64	67
95	51	23	68.92	74
96	29	19	60.42	48
97	34	25	57.63	59
98	47	18	72.31	65
99	28	25	52.83	53
100	9	11	45.00	20

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	63	279	18.42	342
2	33	112	22.76	145
3	30	141	17.54	171
4	18	198	8.33	216
5	10	236	4.07	246
6	3	248	1.20	251
7	8	178	4.30	186
8	6	154	3.75	160
9	2	158	1.25	160
10	4	148	2.63	152
11	9	187	4.59	196
12	6	177	3.28	183
13	3	171	1.72	174
14	1	191	0.52	192
15	2	150	1.32	152
16	2	174	1.14	176
17	5	175	2.78	180
18	5	185	2.63	190
19	5	183	2.66	188
20	3	181	1.63	184
21	5	174	2.79	179
22	5	187	2.60	192
23	5	194	2.51	199
24	4	177	2.21	181
25	3	188	1.57	191
26	5	189	2.58	194
27	4	209	1.88	213
28	3	197	1.50	200
29	4	211	1.86	215
30	6	197	2.96	203
31	2	189	1.05	191
32	5	186	2.62	191
33	7	205	3.30	212
34	8	181	4.23	189
35	6	179	3.24	185
36	7	188	3.59	195
37	4	173	2.26	177
38	4	185	2.12	189
39	4	194	2.02	198
40	7	184	3.66	191
41	4	192	2.04	196
42	6	163	3.55	169
43	6	188	3.09	194
44	2	212	0.93	214
45	3	196	1.51	199
46	5	199	2.45	204
47	5	187	2.60	192
48	2	206	0.96	208
49	7	181	3.72	188
50	2	211	0.94	213
51	1	205	0.49	206
52	3	191	1.55	194
53	4	159	2.45	163
54	5	208	2.35	213
55	6	196	2.97	202
56	1	172	0.58	173
57	5	183	2.66	188
58	4	186	2.11	190
59	4	205	1.91	209
60	6	168	3.45	174
61	1	183	0.54	184
62	4	183	2.14	187
63	4	176	2.22	180
64	4	159	2.45	163
65	9	176	4.86	185
66	7	159	4.22	166
67	4	158	2.47	162
68	2	168	1.18	170
69	3	188	1.57	191
70	3	159	1.85	162
71	4	151	2.58	155
72	9	179	4.79	188
73	8	162	4.71	170
74	1	125	0.79	126
75	2	177	1.12	179
76	4	167	2.34	171
77	1	154	0.65	155
78	3	143	2.05	146
79	4	155	2.52	159
80	5	150	3.23	155
81	6	134	4.29	140
82	3	143	2.05	146
83	3	133	2.21	136
84	5	158	3.07	163
85	5	144	3.36	149
86	3	139	2.11	142
87	2	154	1.28	156
88	2	133	1.48	135
89	4	141	2.76	145
90	7	132	5.04	139
91	4	144	2.70	148
92	4	124	3.12	128
93	1	114	0.87	115
94	5	133	3.62	138
95	2	130	1.52	132
96	3	117	2.50	120
97	4	109	3.54	113
98	3	113	2.59	116
99	0	109	0.00	109
100	2	86	2.27	88

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	99	261	27.50	360
2	121	323	27.25	444
3	105	283	27.06	388
4	73	320	18.58	393
5	45	422	9.64	467
6	34	534	5.99	568
7	49	552	8.15	601
8	30	592	4.82	622
9	34	547	5.85	581
10	27	545	4.72	572
11	31	530	5.53	561
12	38	552	6.44	590
13	22	594	3.57	616
14	36	554	6.10	590
15	28	544	4.90	572
16	26	530	4.68	556
17	32	539	5.60	571
18	29	536	5.13	565
19	34	548	5.84	582
20	27	579	4.46	606
21	24	575	4.01	599
22	35	527	6.23	562
23	30	534	5.32	564
24	28	549	4.85	577
25	21	571	3.55	592
26	25	550	4.35	575
27	27	498	5.14	525
28	25	556	4.30	581
29	31	571	5.15	602
30	25	550	4.35	575
31	35	547	6.01	582
32	18	576	3.03	594
33	28	553	4.82	581
34	21	546	3.70	567
35	23	554	3.99	577
36	21	551	3.67	572
37	20	550	3.51	570
38	27	561	4.59	588
39	23	562	3.93	585
40	21	551	3.67	572
41	16	578	2.69	594
42	19	565	3.25	584
43	17	517	3.18	534
44	23	542	4.07	565
45	17	559	2.95	576
46	23	558	3.96	581
47	15	565	2.59	580
48	27	532	4.83	559
49	18	534	3.26	552
50	26	574	4.33	600
51	21	540	3.74	561
52	19	544	3.37	563
53	16	562	2.77	578
54	24	536	4.29	560
55	22	517	4.08	539
56	15	535	2.73	550
57	15	513	2.84	528
58	18	541	3.22	559
59	19	547	3.36	566
60	14	521	2.62	535
61	20	496	3.88	516
62	20	516	3.73	536
63	16	483	3.21	499
64	20	506	3.80	526
65	13	503	2.52	516
66	12	514	2.28	526
67	21	516	3.91	537
68	15	484	3.01	499
69	17	463	3.54	480
70	15	509	2.86	524
71	13	480	2.64	493
72	15	476	3.05	491
73	19	449	4.06	468
74	15	456	3.18	471
75	9	452	1.95	461
76	15	458	3.17	473
77	18	464	3.73	482
78	11	423	2.53	434
79	16	417	3.70	433
80	12	434	2.69	446
81	16	431	3.58	447
82	2	407	0.49	409
83	9	400	2.20	409
84	12	412	2.83	424
85	12	409	2.85	421
86	13	410	3.07	423
87	15	404	3.58	419
88	24	400	5.66	424
89	10	353	2.75	363
90	11	372	2.87	383
91	17	355	4.57	372
92	5	358	1.38	363
93	9	347	2.53	356
94	8	364	2.15	372
95	13	327	3.82	340
96	15	334	4.30	349
97	11	320	3.32	331
98	16	313	4.86	329
99	8	291	2.68	299
100	2	260	0.76	262

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	39	28	58.21	67
2	57	29	66.28	86
3	56	27	67.47	83
4	28	27	50.91	55
5	27	23	54.00	50
6	19	21	47.50	40
7	17	20	45.95	37
8	28	26	51.85	54
9	27	13	67.50	40
10	22	13	62.86	35
11	39	15	72.22	54
12	33	13	71.74	46
13	31	17	64.58	48
14	40	11	78.43	51
15	28	8	77.78	36
16	25	13	65.79	38
17	19	21	47.50	40
18	17	13	56.67	30
19	26	7	78.79	33
20	27	15	64.29	42
21	34	13	72.34	47
22	18	16	52.94	34
23	23	13	63.89	36
24	30	14	68.18	44
25	24	10	70.59	34
26	18	9	66.67	27
27	23	17	57.50	40
28	18	12	60.00	30
29	21	9	70.00	30
30	28	7	80.00	35
31	13	10	56.52	23
32	23	7	76.67	30
33	21	11	65.62	32
34	18	10	64.29	28
35	21	7	75.00	28
36	17	18	48.57	35
37	14	11	56.00	25
38	25	8	75.76	33
39	15	11	57.69	26
40	22	7	75.86	29
41	16	7	69.57	23
42	14	12	53.85	26
43	21	7	75.00	28
44	23	7	76.67	30
45	18	7	72.00	25
46	17	4	80.95	21
47	15	9	62.50	24
48	16	7	69.57	23
49	8	10	44.44	18
50	14	8	63.64	22
51	9	10	47.37	19
52	12	4	75.00	16
53	8	10	44.44	18
54	7	9	43.75	16
55	12	4	75.00	16
56	14	2	87.50	16
57	15	6	71.43	21
58	11	8	57.89	19
59	7	6	53.85	13
60	8	4	66.67	12
61	7	10	41.18	17
62	10	5	66.67	15
63	14	1	93.33	15
64	17	5	77.27	22
65	8	11	42.11	19
66	11	5	68.75	16
67	8	4	66.67	12
68	15	1	93.75	16
69	8	3	72.73	11
70	4	4	50.00	8
71	8	5	61.54	13
72	11	5	68.75	16
73	11	3	78.57	14
74	7	3	70.00	10
75	7	3	70.00	10
76	11	5	68.75	16
77	8	0	100.00	8
78	9	4	69.23	13
79	5	3	62.50	8
80	6	5	54.55	11
81	4	4	50.00	8
82	6	9	40.00	15
83	9	1	90.00	10
84	8	3	72.73	11
85	4	4	50.00	8
86	3	4	42.86	7
87	8	0	100.00	8
88	3	2	60.00	5
89	8	6	57.14	14
90	7	3	70.00	10
91	7	3	70.00	10
92	8	1	88.89	9
93	7	4	63.64	11
94	1	3	25.00	4
95	4	2	66.67	6
96	3	4	42.86	7
97	3	1	75.00	4
98	1	3	25.00	4
99	2	2	50.00	4
100	1	2	33.33	3

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	30	168	15.15	198
2	12	52	18.75	64
3	17	79	17.71	96
4	11	106	9.40	117
5	13	133	8.90	146
6	9	131	6.43	140
7	4	85	4.49	89
8	4	63	5.97	67
9	2	80	2.44	82
10	4	86	4.44	90
11	6	70	7.89	76
12	4	69	5.48	73
13	1	86	1.15	87
14	5	69	6.76	74
15	5	86	5.49	91
16	5	64	7.25	69
17	2	58	3.33	60
18	2	67	2.90	69
19	3	78	3.70	81
20	4	70	5.41	74
21	2	66	2.94	68
22	1	48	2.04	49
23	2	62	3.12	64
24	0	59	0.00	59
25	2	57	3.39	59
26	3	52	5.45	55
27	0	63	0.00	63
28	3	63	4.55	66
29	3	46	6.12	49
30	0	54	0.00	54
31	2	67	2.90	69
32	1	63	1.56	64
33	0	48	0.00	48
34	1	42	2.33	43
35	1	50	1.96	51
36	1	50	1.96	51
37	1	42	2.33	43
38	0	52	0.00	52
39	1	42	2.33	43
40	0	52	0.00	52
41	1	49	2.00	50
42	1	32	3.03	33
43	1	51	1.92	52
44	1	34	2.86	35
45	0	43	0.00	43
46	3	45	6.25	48
47	3	38	7.32	41
48	0	37	0.00	37
49	0	39	0.00	39
50	1	38	2.56	39
51	1	32	3.03	33
52	0	36	0.00	36
53	0	35	0.00	35
54	1	33	2.94	34
55	0	35	0.00	35
56	0	30	0.00	30
57	0	34	0.00	34
58	1	40	2.44	41
59	1	40	2.44	41
60	0	23	0.00	23
