CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	102	50	67.11	152
2	150	49	75.38	199
3	113	66	63.13	179
4	80	67	54.42	147
5	67	48	58.26	115
6	50	43	53.76	93
7	71	29	71.00	100
8	69	43	61.61	112
9	76	39	66.09	115
10	85	34	71.43	119
11	93	43	68.38	136
12	96	44	68.57	140
13	104	40	72.22	144
14	92	31	74.80	123
15	92	37	71.32	129
16	101	41	71.13	142
17	88	41	68.22	129
18	89	46	65.93	135
19	102	34	75.00	136
20	114	45	71.70	159
21	100	34	74.63	134
22	111	39	74.00	150
23	79	40	66.39	119
24	92	41	69.17	133
25	96	35	73.28	131
26	110	35	75.86	145
27	87	42	67.44	129
28	104	40	72.22	144
29	107	33	76.43	140
30	100	35	74.07	135
31	103	44	70.07	147
32	107	32	76.98	139
33	121	45	72.89	166
34	96	32	75.00	128
35	107	37	74.31	144
36	107	39	73.29	146
37	87	38	69.60	125
38	108	48	69.23	156
39	96	34	73.85	130
40	97	38	71.85	135
41	103	41	71.53	144
42	108	44	71.05	152
43	100	44	69.44	144
44	97	27	78.23	124
45	103	50	67.32	153
46	109	47	69.87	156
47	101	34	74.81	135
48	93	52	64.14	145
49	104	36	74.29	140
50	90	36	71.43	126
51	75	41	64.66	116
52	93	38	70.99	131
53	84	41	67.20	125
54	92	38	70.77	130
55	99	39	71.74	138
56	97	56	63.40	153
57	56	34	62.22	90
58	86	40	68.25	126
59	81	43	65.32	124
60	80	42	65.57	122
61	81	38	68.07	119
62	89	33	72.95	122
63	74	30	71.15	104
64	78	43	64.46	121
65	82	35	70.09	117
66	81	28	74.31	109
67	88	30	74.58	118
68	72	33	68.57	105
69	72	34	67.92	106
70	77	23	77.00	100
71	85	32	72.65	117
72	78	38	67.24	116
73	74	23	76.29	97
74	67	33	67.00	100
75	57	29	66.28	86
76	73	23	76.04	96
77	68	31	68.69	99
78	55	31	63.95	86
79	52	28	65.00	80
80	52	17	75.36	69
81	54	34	61.36	88
82	58	24	70.73	82
83	54	34	61.36	88
84	72	32	69.23	104
85	54	25	68.35	79
86	53	28	65.43	81
87	49	27	64.47	76
88	56	28	66.67	84
89	47	32	59.49	79
90	42	28	60.00	70
91	52	28	65.00	80
92	50	21	70.42	71
93	40	25	61.54	65
94	49	16	75.38	65
95	41	34	54.67	75
96	45	27	62.50	72
97	32	39	45.07	71
98	28	22	56.00	50
99	38	29	56.72	67
100	12	18	40.00	30

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	82	352	18.89	434
2	32	120	21.05	152
3	32	188	14.55	220
4	17	238	6.67	255
5	12	261	4.40	273
6	6	312	1.89	318
7	5	205	2.38	210
8	7	196	3.45	203
9	9	195	4.41	204
10	13	200	6.10	213
11	16	216	6.90	232
12	13	236	5.22	249
13	9	217	3.98	226
14	6	210	2.78	216
15	6	220	2.65	226
16	5	209	2.34	214
17	5	232	2.11	237
18	7	226	3.00	233
19	11	206	5.07	217
20	8	190	4.04	198
21	8	267	2.91	275
22	6	236	2.48	242
23	3	215	1.38	218
24	3	220	1.35	223
25	4	233	1.69	237
26	7	215	3.15	222
27	3	222	1.33	225
28	7	209	3.24	216
29	7	258	2.64	265
30	3	217	1.36	220
31	4	244	1.61	248
32	1	204	0.49	205
33	7	234	2.90	241
34	4	262	1.50	266
35	2	235	0.84	237
36	9	226	3.83	235
37	7	242	2.81	249
38	1	235	0.42	236
39	11	224	4.68	235
40	6	211	2.76	217
41	7	222	3.06	229
42	3	246	1.20	249
43	2	237	0.84	239
44	4	215	1.83	219
45	6	215	2.71	221
46	7	251	2.71	258
47	3	195	1.52	198
48	8	237	3.27	245
49	9	235	3.69	244
50	7	223	3.04	230
51	6	217	2.69	223
52	6	249	2.35	255
53	6	203	2.87	209
54	6	189	3.08	195
55	7	216	3.14	223
56	4	193	2.03	197
57	5	225	2.17	230
58	1	229	0.43	230
59	5	200	2.44	205
60	4	202	1.94	206
61	5	183	2.66	188
62	10	198	4.81	208
63	5	210	2.33	215
64	5	191	2.55	196
65	6	173	3.35	179
66	6	189	3.08	195
67	3	186	1.59	189
68	5	194	2.51	199
69	5	156	3.11	161
70	6	189	3.08	195
71	5	170	2.86	175
72	5	164	2.96	169
73	4	155	2.52	159
74	6	153	3.77	159
75	5	192	2.54	197
76	9	165	5.17	174
77	3	164	1.80	167
78	6	144	4.00	150
79	3	150	1.96	153
80	7	133	5.00	140
81	10	153	6.13	163
82	4	130	2.99	134
83	6	150	3.85	156
84	3	133	2.21	136
85	7	134	4.96	141
86	4	150	2.60	154
87	4	147	2.65	151
88	4	131	2.96	135
89	6	130	4.41	136
90	6	138	4.17	144
91	5	134	3.60	139
92	4	138	2.82	142
93	3	108	2.70	111
94	3	117	2.50	120
95	2	103	1.90	105
96	8	128	5.88	136
97	5	103	4.63	108
98	5	91	5.21	96
99	2	96	2.04	98
100	1	89	1.11	90

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	132	261	33.59	393
2	149	335	30.79	484
3	108	297	26.67	405
4	85	392	17.82	477
5	49	497	8.97	546
6	47	564	7.69	611
7	46	649	6.62	695
8	46	666	6.46	712
9	37	622	5.61	659
10	42	646	6.10	688
11	28	616	4.35	644
12	42	627	6.28	669
13	53	621	7.86	674
14	37	595	5.85	632
15	42	576	6.80	618
16	36	548	6.16	584
17	37	600	5.81	637
18	32	549	5.51	581
19	35	589	5.61	624
20	38	639	5.61	677
21	38	598	5.97	636
22	43	567	7.05	610
23	40	605	6.20	645
24	39	602	6.08	641
25	49	623	7.29	672
26	26	620	4.02	646
27	29	624	4.44	653
28	36	576	5.88	612
29	33	590	5.30	623
30	31	623	4.74	654
31	38	650	5.52	688
32	29	608	4.55	637
33	26	613	4.07	639
34	33	659	4.77	692
35	34	667	4.85	701
36	30	654	4.39	684
37	33	630	4.98	663
38	28	628	4.27	656
39	36	622	5.47	658
40	37	626	5.58	663
41	29	622	4.45	651
42	23	635	3.50	658
43	37	601	5.80	638
44	32	643	4.74	675
45	33	613	5.11	646
46	30	629	4.55	659
47	37	584	5.96	621
48	28	561	4.75	589
49	22	648	3.28	670
50	25	619	3.88	644
51	33	601	5.21	634
52	30	583	4.89	613
53	17	571	2.89	588
54	28	623	4.30	651
55	22	606	3.50	628
56	27	593	4.35	620
57	28	634	4.23	662
58	23	610	3.63	633
59	17	575	2.87	592
60	23	552	4.00	575
61	29	530	5.19	559
62	27	586	4.40	613
63	26	520	4.76	546
64	32	476	6.30	508
65	12	518	2.26	530
66	20	501	3.84	521
67	20	486	3.95	506
68	22	471	4.46	493
69	21	512	3.94	533
70	14	504	2.70	518
71	17	489	3.36	506
72	18	483	3.59	501
73	15	477	3.05	492
74	29	470	5.81	499
75	22	453	4.63	475
76	18	457	3.79	475
77	15	467	3.11	482
78	11	459	2.34	470
79	13	433	2.91	446
80	9	453	1.95	462
81	15	407	3.55	422
82	13	395	3.19	408
83	10	420	2.33	430
84	17	393	4.15	410
85	14	398	3.40	412
86	15	390	3.70	405
87	18	370	4.64	388
88	14	330	4.07	344
89	16	355	4.31	371
90	15	345	4.17	360
91	13	355	3.53	368
92	14	341	3.94	355
93	15	343	4.19	358
94	16	331	4.61	347
95	13	302	4.13	315
96	20	332	5.68	352
97	23	304	7.03	327
98	19	299	5.97	318
99	19	260	6.81	279
100	7	243	2.80	250

